index,status,year,make,model,price,phone,seller,url
1,VIABLE,1997,Caroff,CHATAM,,none,,boattrader.com/boat/1997-caroff-chatam-52-10130796/
2,VIABLE,2006,Luhrs,41 Convertible,"$235,000",none,Private Seller,boattrader.com/boat/2006-luhrs-41-convertible-10131961/
3,VIABLE,1987,Beneteau,Idylle 15.50,,none,,boattrader.com/boat/1987-beneteau-idylle-15-50-10139990/
4,VIABLE,2017,Intrepid,400,,none,Private Seller,boattrader.com/boat/2017-intrepid-400-cuddy-9703433/
5,VIABLE,2024,Sunseeker,90 Ocean Enclosed,"$7,899,000",none,,boattrader.com/boat/2024-sunseeker-90-ocean-enclosed-ocean-182-9758084/
6,VIABLE,1996,Grady-White,Sailfish,,none,,boattrader.com/boat/1996-grady-white-sailfish-10020958/
7,VIABLE,2016,Leopard,43,,none,Private Seller,boattrader.com/boat/2016-leopard-43-powercat-9630269/
8,VIABLE,2024,Yamaha,222,,none,,boattrader.com/boat/2024-yamaha-boats-222-fsh-sport-10088436/
9,VIABLE,2022,Freeman,34VH,,none,,boattrader.com/boat/2022-freeman-34vh-10116181/
10,VIABLE,2022,Freeman,34vh,,none,,boattrader.com/boat/2022-freeman-34vh-10116181/
11,VIABLE,2001,Donzi,Classic Sweet 16,,none,,boattrader.com/boat/2001-donzi-classic-sweet-16-9693961/
12,VIABLE,1994,Gulf Stream,Yachts 31,"$40,000",none,,boattrader.com/boat/1994-gulf-stream-yachts-31-9913342/
13,VIABLE,2004,Crownline,270 CR,,none,,boattrader.com/boat/2004-crownline-270-cr-10109595/
14,VIABLE,2013,Prestige,,,none,Private Seller,boattrader.com/boat/2013-prestige-620-10045731/
15,VIABLE,2025,Watercraft,Jetcar,,none,,boattrader.com/boat/2025-watercraft-jetcar-9952779/
16,VIABLE,2008,Formula,370 Super Sport,,none,,boattrader.com/boat/2008-formula-370-super-sport-9855442/
17,VIABLE,2015,Sea Ray,240 Sundeck,,none,,boattrader.com/boat/2015-sea-ray-240-sundeck-9696041/
18,VIABLE,2000,Sea Ray,Sundancer 460,,none,,boattrader.com/boat/2000-sea-ray-sundancer-460-10120525/
19,VIABLE,1993,Fountain,Tournament Edition,"$129,000",none,Private Seller,boattrader.com/boat/1993-fountain-tournament-edition-10094314/
20,VIABLE,2008,SeaVee,390,,none,Private Seller,boattrader.com/boat/2008-seavee-390-10027527/
21,VIABLE,2022,Sea Ray,SDX 250,"$80,000",none,Private Seller,boattrader.com/boat/2022-sea-ray-sdx-250-8283765/
22,VIABLE,2024,Sylvan,Mirage X X3 CLZ,,none,Private Seller,boattrader.com/boat/2024-sylvan-mirage-x-x3-clz-9869768/
23,VIABLE,2016,Custom,40m,,none,,boattrader.com/boat/2016-custom-40m-10084034/
24,VIABLE,2006,Wellcraft,290 Coastal,,none,,boattrader.com/boat/2006-wellcraft-290-coastal-10085990/
25,VIABLE,2007,Avanti,33,,none,,boattrader.com/boat/2007-avanti-33-10074176/
26,VIABLE,2016,SeaVee,270Z,,none,,boattrader.com/boat/2016-seavee-270z-9941416/
